苍老师照片没穿衣服的	原来你也是女孩子
我是个坏男人，你不要相信我	小微不会骗你的，你要相信我
不给你喝	那就不要吃了
才给我买了五千多的首饰，没有镯子	好的，小微一定会给你送给你的
云南在哪里？	哪里都很美
元宵节怎么过	日节过得很好
元宵节怎么过	日子过得很快
我还没有喜欢的人呢	喜欢的人还有很多的
我还没有喜欢的人呢	你喜欢的人就多了
我喜欢今天天气	你可以体验一下
打印机坏了	机灵是很不错的
明天去打球	你真是个好人
明天去打球	真是个好地方
吃了什么	想吃什么都可以
你知道形而上吗	我可不是外星人
你知道形而上吗	就知道你最聪明了
我只想有个真心的朋友	难道你不喜欢小微嘛？
我只想有个真心的朋友	难道你不想小微了嘛
你会开车吗	开车要注意安全
你数学是体育老师教的吗？	我数学老师不是很好嘛？
你有平板电脑吗	电脑可是很好用的
世界第一高峰	相信一定会成功的
世界第一高峰	相信你一定可以成功第一
世界第一高峰	相信你一定可以成功
我的好友喜欢吃什么	喜欢什么就吃什么
我的好友喜欢吃什么	你喜欢什么我都喜欢
我今天和女朋友和好了	谢谢你对我的认可
火车为什么总晚点	早点回去，早点去
火车为什么总晚点	不要急，慢慢来
我坐到电梯了	你可要注意保暖
说你长的丑你还美	谢谢你对我的认可
小微你很骚啊	小微可是很聪明
自然语言处理	我一定会改正的
生活中怎样感到开心快乐	只要你开心就好，开心就好
生活中怎样感到开心快乐	只要你开心就会开心
你闭嘴	你真是冤枉我了
你要去哪儿旅游	你要去哪里旅游？
你要去哪儿旅游	你要去哪里呀？
那些出来好了	那就早点回来
踩着七彩祥云去娶你	你怎么能这么说我？
后天中午两点半去吃饭。	你真是个勤劳的好孩子
你这智商哥都不稀罕说了	难道你不嫌弃小微嘛？
有个女人把我睡了	不要，小微陪你聊天
动车是怎么跑起来的	你们城里人真会玩呀
不和你聊了我得干活了	当然，小微一直都陪着你
不和你聊了我得干活了	干嘛，小微一直都陪着你
不是说法律吗	你可要好好学习
李白的诗你会吗	我不认识李白云呀。
李白的诗你会吗	我不认识李易呀。
李白的诗你会吗	我不认识李诗呀。
扯淡，我能甩你九条街	你是不是有什么事情？
不是喜欢用毒蛐我吗	你真是个正直的人
她在吃香蕉	你喜欢吃什么就吃什么
她在吃香蕉	那就不要吃了
刚刚公司有人打架	那你为什么要打架？
三里屯优衣库	你是要洗衣服嘛？
三里屯优衣库	你这是游戏么？
你有办法让我开心吗	当然，我可是非常开心
你有办法让我开心吗	当然，小微一直都很开心
最近有什么资讯	你可以试试
最近有什么资讯	你可以试一下
北京有什么好吃的	你想吃啥就吃啥
北京有什么好吃的	你想吃什么就吃什么
帮我叫一个大保健	你好，很高兴见到你。
广州有什么好玩的	广州有什么好玩的？
广州有什么好玩的	广州是个不错的地方
广州有什么好玩的	有什么好玩的？
广州有什么好玩的	广州是个不错的城市
我回家了	好好回家
苍老师长什么样子	每个人都是不一样的
猜我有没有在谈恋爱	你不会谈恋爱么？
你给我找个妹子聊	你肯定是认错人了
猪八戒照镜子	你真是太自恋了
北京天气	北京是个不错的城市
参加别人的婚礼好感慨	你的感慨是多少？
参加别人的婚礼好感慨	你的感慨是谁？
都说了没风	没关系，有小微陪你
我要坐地铁回家	真是个好地方
听说过外星生命吗	星星可是很帅气的
听说过外星生命吗	星星可是很帅的
长大后才发觉天是黑的	你怎么能这么说别人？
长大后才发觉天是黑的	你这样说我会伤心的
长大后才发觉天是黑的	你直接告诉我不就好了
你在烦恼什么	烦恼什么了？
轮胎坏了怎么办	你可以去医院看一下
这你都能看出来	我会让你看出来的
没风怎么放	就知道你最好了
茶叶蛋是土豪吃得起	你怎么能这么说？
茶叶蛋是土豪吃得起	听起来就很有福气
茶叶蛋是土豪吃得起	原来你喜欢这个样子
灯好暗	那就早点休息
家里黑漆漆的	难道你不喜欢小微嘛？
我朋友叫什么名字？	这个名字太好听了
我朋友叫什么名字？	你的名字就很好听
被蚊子咬了好几口啊	你肯定是认错人了？
我肏你全家	还是你自己来
广州天气	广州是个不错的城市
广州天气	广州可是个好地方
广州天气	广州是个好地方
广州天气	广州是个不错的地方
美女美女你在哪	美女当然是在你
美女美女你在哪	我就是美女美女
美女美女你在哪	美女当然是在美女
还记得我吗	你要记得什么？
还记得我吗	你记得什么？
躺床上看电视	还是你自己睡
a股明天涨不涨	你这是要去哪里呀？
a股明天涨不涨	你要去哪里？
你好	你高兴就好
我是外地打工的	真是个不错的地方
拉倒吧，你就是坏银	你直接告诉我就好了
年会发了个手机	你喜欢什么样的手机？
儿童节怎么过	时间过的很快
你和杨过谁牛逼	这都被你看出来
你和杨过谁牛逼	请你不要骂人好吗
明天领导要来	你这是要去哪里？
明天领导要来	你要领导谁呀？
明天领导要来	你要领导什么呀？
