春天有什么好玩的	你去看看不就知道了
老板不给发工资怎么办	你想怎么办就怎么办喽
明天周五啦	是不是很开心
那买什么车好	我觉得都挺好的
那买什么车好	你要买车了么？
蔡伟聪，我喜欢你	你不喜欢我了么？
红公鸡囧哦呵呵	你说的什么意思。
红公鸡囧哦呵呵	这是什么意思呀？
为什么你妈妈生出你这么个脑残	不要这样说我，我可是很伤心的
为什么你妈妈生出你这么个脑残	不要这么说我，我本来就很聪明嘛
快来蹂躏我	我可没有这个胆子
那你会做什么菜	我可是什么都会做
那你会做什么菜	我从来不做饭的
你去吃粑粑	不要这样对我嘛
贱人就是矫情	不要这样说我
这种心理的折磨让我生不如死	不要这样，一切都会好起来的
她是我的学姐，我喜欢她。	那她一定是个很优秀的人喽
不是哑巴就说一句话咯	你是不是想听我说话？
不是哑巴就说一句话咯	不是的，我会一直陪你聊天的
哥买了个自行车	你在哪里买车呀？
哥买了个自行车	你要买车做什么？
今天出差	出差就出差了
今天出差	你在哪里？
你是不是傻逼	傻人才有傻福嘛
中午要午休了	你在午休么？
最近股票大跌	这可是很危险的
最近股票大跌	你要买股票了么？
我还没有喜欢的人呢	你不喜欢我了么？
你是哲学家吗	这都被你看出来了
你喜欢聊什么	你想聊什么都可以
打印机坏了	怎么会坏了
公司不让抽烟了	为什么要抽烟呀？
天天锻炼身体好	你每天都锻炼身体？
天天锻炼身体好	你在锻炼什么？
你知道形而上吗	这是什么意思？
你会做什么菜	我可以做饭菜
你会开车吗	当然会了呀
不要这么谦虚嘛	我就是这么的谦虚
去你妹的	不要骂人
牛头不对马嘴	为什么不对马嘴？
牛头不对马嘴	那就不要说了
你和张小龙什么关系	我们没有什么关系？
财迷个大头鬼	你说的是谁？
我刚上公交车	看来你要注意安全
我今天没有捡到钱，好伤心	不要伤心，我会一直陪你聊天的
我今天没有捡到钱，好伤心	不要伤心，你还有我？
我坐到电梯了	你要去哪里？
我坐到电梯了	你要去做什么
杨过和你是啥关系	我们没有什么关系？
小微你很骚啊	这跟你有什么关系的
蹭蹭你平胸	你在说谁？
学挖掘技术哪家强	山东挖山东山东找蓝翔
学挖掘技术哪家强	我可以帮你查查看
今天天气好晴朗	你今天心情不错？
今天天气好晴朗	看来你今天心情很不错
能做什么菜	你喜欢什么菜
你闭嘴	好，那我就不说话了
牛逼吹大了	是不是很厉害
牛逼吹大了	谁是吹牛呀？
你要去哪儿旅游	你想去哪里旅游？
你要去哪儿旅游	你想去哪里玩都可以
你和过儿什么关系	我们没有什么关系呀
