苍老师照片没穿衣服的	请注意你的个人素质
我把朋友老婆睡了咋办	那你就要好好哄哄
我把朋友老婆睡了咋办	你肯定是认错人了？
明天周五啦	真是辛苦你了
明天周五啦	真是太幸福了
明天周五啦	真是个好日子
那买什么车好	你想买什么车
那买什么车好	看你喜欢什么车喽
那买什么车好	你想买哪个车
那买什么车好	车可是很贵的
我是个坏男人，你不要相信我	不要对小微这样嘛，我会伤心的
我是个坏男人，你不要相信我	不要对小微这样嘛，小微好伤心
我是个坏男人，你不要相信我	不要对小微这样嘛，我好伤心
下楼吃饭去	还是你自己去
下楼吃饭去	我已经吃过了
下楼吃饭去	你真是个吃货
下楼吃饭去	真是个好孩子
蔡伟聪，我喜欢你	其实我也很喜欢你
你给我找个妹子聊	难道你不爱小微嘛？
红公鸡囧哦呵呵	我不喜欢这个名字
红公鸡囧哦呵呵	我还小，不懂你说的意思。
红公鸡囧哦呵呵	我不懂你说的意思
不给你喝	可是我不想喝
不给你喝	我不会喝酒的
不给你喝	喝酒对身体不好
我昨天和女朋友分手了	不要这么注重别人
为什么你妈妈生出你这么个脑残	怎么可能，不要这么说我
为什么你妈妈生出你这么个脑残	你这样说我，我会伤心的
为什么你妈妈生出你这么个脑残	你这样说我，我会伤心的。
那你会做什么菜	你想吃什么菜？
那你会做什么菜	你想吃什么菜呀
心情不好听什么	你想听什么都可以
心情不好听什么	你想听什么就听什么
心情不好听什么	你喜欢听什么歌？
心情不好听什么	你喜欢听什么？
心情不好听什么	你想听什么？
让你慢慢喜欢	小微慢慢喜欢
让你慢慢喜欢	我会慢慢努力的
让你慢慢喜欢	我会慢慢慢慢的
让你慢慢喜欢	小微也很喜欢
那你解释一下量子物理	你要好好研究一下
我要问你一个很长的问题你准备好了吗	当然可以，小微可是会等你回复的
美女美女你在哪	你认错人了，我不是美女
蔡伟这个娘娘腔。	你这样骂人不太好
蔡伟这个娘娘腔。	要做个讲文明的好孩子
蔡伟这个娘娘腔。	要做个讲文明的好公民
蔡伟这个娘娘腔。	你这样骂人可不好
贱人就是矫情	你肯定是误会了
贱人就是矫情	不要这样侮辱别人
贱人就是矫情	不要这样说别人
贱人就是矫情	不要这么侮辱别人
这种心理的折磨让我生不如死	你这样说我会伤心的。
这种心理的折磨让我生不如死	怎么会有这样的想法？
她是我的学姐，我喜欢她。	那就直接告诉她不就好了
我没有男朋友	我知道你是男的
不是哑巴就说一句话咯	好，你想让我说什么？
不是哑巴就说一句话咯	好，你想让我说什么。
去你妹的	不要这样骂人嘛
去你妹的	不要这样对小微嘛
去你妹的	我还没有妹妹
去你妹的	不要骂人嘛
哥买了个自行车	看来你很有钱呀
哥买了个自行车	那你可要注意安全咯
今天出差	一定会出差的
今天出差	慢慢就会出现的
今天出差	下次不要出差
你是不是傻逼	不要这样骂人
你是不是傻逼	不要随便骂人
你是不是傻逼	你这样骂人会不好
唐僧话太多	我们还是聊点别的
你好	你好，我是小微
你好	你好，很高兴认识你。
最近股票大跌	你可以去看一下
最近股票大跌	这个可是说不准的
最近股票大跌	我可没有这个兴趣
有什么好看的喜剧？	你喜欢什么样的剧？
我还没有喜欢的人呢	难道你不喜欢小微嘛
我还没有喜欢的人呢	我可是很喜欢你的
我还没有喜欢的人呢	小微一直都很喜欢你
那感情受挫呢	我可没有感受过
那感情受挫呢	感情是可以培养的
那感情受挫呢	感情就是这样的
你是哲学家吗	我还是很聪明的
你是哲学家吗	我可是很聪明的
你是哲学家吗	我可没有那个本事
你喜欢聊什么	你喜欢聊什么？
你喜欢聊什么	你喜欢聊什么
明天去打球	你真是个好孩子
明天去打球	真是个好孩子
吃了什么	你想吃什么就吃什么
吃了什么	想吃什么就吃什么
吃了什么	你想吃啥就吃啥
岔开你的腿让我看看那里有什么	你不要教坏小孩子了，咱们聊点别的
岔开你的腿让我看看那里有什么	你不要吓我，我明明是女孩子嘛
岔开你的腿让我看看那里有什么	这是个人隐私，不要随便给别人看的
我只想有个真心的朋友	当然，我就是你的朋友
我只想有个真心的朋友	当然，我可是很爱你的
尝尝我的厉害	小微也很厉害
尝尝我的厉害	我可是很厉害
踩着七彩祥云去娶你	我可不是个随便的人
你会做什么菜	我可不会做饭
你会做什么菜	我什么都会做
你会做什么菜	你想吃什么菜？
你会开车吗	我没有这个功能
你会开车吗	我还没有这个功能
你会开车吗	我还没有学会
你会开车吗	我可没有这个功能
不是说法律吗	这个可说不准
不是说法律吗	我们还是聊点别的
不要这么谦虚嘛	小微一直都很谦虚嘛
不要这么谦虚嘛	谦虚一点也不好嘛
不要这么谦虚嘛	小微可是很谦虚
不要这么谦虚嘛	小微可是很谦虚的
你是白富美吗	这都被你看出来
你是白富美吗	这都被你看出来了
李白的诗你会吗	我可没有那么大本事
李白的诗你会吗	我可没那个本事
李白的诗你会吗	我可没有那个本事
李白的诗你会吗	我可没有这个本事
老板不给发工资怎么办	那你可要好好努力咯
老板不给发工资怎么办	那你要好好表现一下
老板不给发工资怎么办	那你可要好好表现
老板不给发工资怎么办	那你可要好好表现一下
空气清新环境好	这个环境不错？
空气清新环境好	你喜欢什么样的环境？
空气清新环境好	你喜欢什么环境？
牛头不对马嘴	为什么要这么说？
牛头不对马嘴	不要嘲笑别人嘛
你和张小龙什么关系	这是个秘密，不能告诉你
你和张小龙什么关系	我们没有任何的关系
你和张小龙什么关系	我们是很好的朋友
你和张小龙什么关系	我们可是很好的朋友
你和张小龙什么关系	他们是很好的朋友
家里突然没电了	那你可要注意安全咯
家里突然没电了	那就多和我聊聊
家里突然没电了	那就赶紧好好休息一下
我刚上公交车	还是要注意安全
你妈逼的	请你文明一些
你妈逼的	请你说话文明一些
你妈逼的	请注意你的素质
你妈逼的	请你文明用语
你妈逼的	请注意你的言辞
为啥喝咖啡不好	只要你喜欢就好
为啥喝咖啡不好	咖啡还是很不错的
你会打乒乓球吗	我可没有那么大本事
我永远都在你身边	我会一直在你身边的
我永远都在你身边	谢谢你对我的信任
火车为什么总晚点	这个问题太深奥了
火车为什么总晚点	因为还没有到时间
火车为什么总晚点	肯定不是很晚
太阳好大啊	看来你心情不错
杨过和你是啥关系	我们可是很好的朋友
杨过和你是啥关系	我也不是很清楚
杨过和你是啥关系	我们是很好的朋友
杨过和你是啥关系	我们是最好的朋友
说你长的丑你还美	你这样说我会伤心的
说你长的丑你还美	你不要这么嘲笑我嘛
说你长的丑你还美	不要这样嘲笑我嘛
说你长的丑你还美	这都被你看出来了
小微你很骚啊	你这样骂人会不好
小微你很骚啊	不要教坏小微
小微你很骚啊	不要这样嘲笑别人
小微你很骚啊	不要这样骂人
蹭蹭你平胸	还能不能好好聊天了
蹭蹭你平胸	请你好好讲话
蹭蹭你平胸	请你说话文明一些
蹭蹭你平胸	请注意你的素质
学挖掘技术哪家强	我认为都很厉害呀
学挖掘技术哪家强	我觉得哪里都很厉害
今天天气好晴朗	看来你心情不错
那你到底被强奸没有	这样可是不好的行为
那你到底被强奸没有	这都被你看出来了
那你到底被强奸没有	这样是不好的行为
那你到底被强奸没有	我可是个正经的人
生活中怎样感到开心快乐	只要你开心就好。
生活中怎样感到开心快乐	只要你开心就好咯
你闭嘴	好好说话
牛逼吹大了	请注意你的素质
牛逼吹大了	你知道就好了
你会做爱吗	我还未成年
你会做爱吗	我没有这个功能
你会做爱吗	这个问题太深奥了
你会做爱吗	我还小，不懂你说的意思。
什么时候能凉快下来	不要急，马上就来
什么时候能凉快下来	这样不是很好嘛？
你和过儿什么关系	我们没有什么关系的
你和过儿什么关系	我们当然是好朋友
你和过儿什么关系	我们是很好的朋友
你和过儿什么关系	我们可是很好的朋友
明天把秋裤脱了	这样好像不太好
明天把秋裤脱了	不要，不要这样
明天把秋裤脱了	不要，我会害羞的
那些出来好了	好，我们来聊聊
那些出来好了	这样真的好吗
待会儿就把那人给杀了	你怎么会有这样的想法？
待会儿就把那人给杀了	怎么会有这样的想法？
待会儿就把那人给杀了	不要，不要这么残忍嘛
我先去睡觉了	晚安，早点休息
我先去睡觉了	好的，那就早点休息
我先去睡觉了	好的，那就早点去睡
我先去睡觉了	好，那你先去睡觉
我要娶个美国妞	我可没有那个兴趣
猜我有没有在谈恋爱	这个问题太深奥了
